"","logFC.groupAIHcirrhosis...grouphealthy","logFC.groupAIHcirrhosis...groupAIHnocirrhosis","logFC.groupAIHnocirrhosis...grouphealthy","logCPM","F","PValue"
"ENSG00000131355",0.41614422486968,0.239244266043183,0.176899958826497,7.7919121890093,2.90349331469599,0.0600819848977739
"ENSG00000160961",0.110088016065064,0.00188508121363396,0.10820293485143,5.96647478210899,1.09395300100325,0.338847981390454
"ENSG00000127507",0.453154184975763,0.0694763382392434,0.38367784673652,8.15514204864783,3.44116868654976,0.036558596497383
"ENSG00000188269",0.647853811409091,1.96002135798672,-1.31216754657763,-1.3143515034564,4.68681992781454,0.0113247793349534
"ENSG00000127530",-0.583070768380772,0.583889258709033,-1.16696002708981,-1.36689817259646,2.09711576524001,0.128157553935914
"ENSG00000127515",-1.14553697893802,-1.3356122756438,0.190075296705777,-1.50752339088273,3.33741847327683,0.153183848090311
"ENSG00000185385",-2.44173059170047,0,-2.44173059170047,-1.49697640858463,16.3624700578379,5.80300166073986e-06
"ENSG00000127529",-2.12159711840901,-1.57327456252662,-0.548322555882393,-1.44333945360034,4.51842997525585,0.0535617738234975
"ENSG00000105143",-1.91500922063786,-0.647555619486461,-1.2674536011514,-0.456491056873468,2.35940672784495,0.099695107600869
"ENSG00000160994",-1.13797245536759,0.302136641239123,-1.44010909660671,-1.03256158817776,2.0954671817831,0.12836052382228
"ENSG00000105141",-4.13790743447536,-2.49258464117385,-1.64532279330151,-1.03561793455599,8.37262189792029,0.000474666698388469
"ENSG00000094661",0.23727405127204,0.838815598453109,-0.601541547181069,-1.38146745857086,0.804514397905851,0.875235858971413
"ENSG00000105137",-0.77333604674917,0.185129921969096,-0.958465968718267,-0.342578304025389,1.07097698688234,0.34655537292367
"ENSG00000105135",-0.553825155790235,-0.311960158330326,-0.241864997459909,4.07815626539892,4.60187154834176,0.0122404732427307
"ENSG00000074181",0.32757079731343,0.730041309096481,-0.402470511783051,1.14299127308863,0.794104551998363,0.454951316885046
"ENSG00000105131",0.150369080232854,0.949544136392151,-0.799175056159297,-0.292669758673858,1.06527571529909,0.348495425058284
"ENSG00000141867",0.589281602598203,0.490207587688296,0.0990740149099068,9.07126615276614,11.5700793874465,3.00790492396665e-05
"ENSG00000105127",-0.112277395801206,-0.0906615433597681,-0.0216158524414378,5.89695530625956,0.998790159625059,0.371954434830339
"ENSG00000011243",0.151808952210645,0.246696227853624,-0.0948872756429784,5.42183430122108,2.70840907360854,0.0715132636462336
"ENSG00000011451",0.24506922976715,0.295620777610633,-0.0505515478434825,5.66494749738615,4.08328608154717,0.0197281804740891
"ENSG00000105122",-0.166637863383915,-0.00726425046330177,-0.159373612920614,7.39734687087583,2.21177079688158,0.114815158109321
"ENSG00000161031",-0.0970687980252116,0.382559993985701,-0.479628792010912,1.86802212630941,1.62313333732071,0.202413047702103
"ENSG00000171954",0.633362334462376,0.0280050863119591,0.605357248150417,2.39696325506012,1.50449914000885,0.227653991204324
