AIHpartial.vs.healthy,row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
225,ENSG00000162430,166.5101655,-0.081404312,0.137537955,-0.59186798,0.553938997,0.927136359
226,ENSG00000117640,76.79478247,0.031653132,0.157343436,0.201172241,0.840563896,0.980620402
227,ENSG00000127423,7.845581887,0.305312559,0.596679449,0.511686065,0.608870741,0.94241016
228,ENSG00000182749,54.65421203,-0.288492909,0.184123859,-1.566841534,0.117151736,0.797162813
229,ENSG00000117632,42.12245723,0.074424751,0.232693763,0.319839903,0.749089697,0.961849432
230,ENSG00000158006,159.3705914,-0.191900021,0.13657694,-1.405068977,0.160000768,0.827913101
231,ENSG00000175087,65.65436029,0.074837361,0.18842259,0.397178282,0.691235996,0.956334513
232,ENSG00000142675,10.32359366,-0.406807117,0.507539064,-0.801528683,0.422825646,0.903157251
233,ENSG00000130695,130.3637888,-0.107639455,0.160328775,-0.671367041,0.501986736,0.918851119
234,ENSG00000142669,1539.082777,0.120805358,0.136730515,0.883528874,0.376950589,0.896318615
235,ENSG00000158062,491.3717534,0.040484323,0.110313169,0.366994473,0.713623141,0.957882289
236,ENSG00000169442,119.6656933,0.01099856,0.180773901,0.060841523,0.951485421,0.992840976
237,ENSG00000176092,49.9526886,-0.112097168,0.233016013,-0.481070662,0.630466278,0.944742653
238,ENSG00000176083,50.71242005,-0.074757702,0.451674894,-0.165512193,0.868540854,0.983410438
239,ENSG00000117682,312.7456926,-0.192946355,0.094161807,-2.049093591,0.040452964,0.718175155
240,ENSG00000198830,920.1427413,0.072901921,0.086086697,0.846843051,0.397082608,0.898675787
241,ENSG00000117676,2144.184535,0.068474743,0.122196519,0.560365745,0.575229992,0.933116928
242,ENSG00000117713,2327.176351,-0.077134612,0.091966589,-0.838724291,0.401624044,0.899994477
243,ENSG00000060642,129.1765725,-0.029194306,0.135533406,-0.215403031,0.829453107,0.978230605
244,ENSG00000204160,2401.150259,0.091136766,0.164651413,0.553513419,0.579911895,0.934059216
245,ENSG00000142751,202.2122878,0.032758155,0.105460041,0.310621493,0.756088386,0.962597587
246,ENSG00000198746,82.9934282,-0.01812533,0.149399689,-0.121321071,0.903436731,0.987795121
247,ENSG00000090273,236.6627398,-0.053193889,0.113165206,-0.470055162,0.638315607,0.945420608
248,ENSG00000175707,10.46295722,-0.524401671,0.461333644,-1.136708059,0.255660349,0.860385029
249,ENSG00000253368,6.004943778,0.833483545,0.660810442,1.261305046,0.207198964,0.844313052
250,ENSG00000090020,442.2861455,-0.009478035,0.134404814,-0.070518571,0.94378092,0.992241856
251,ENSG00000142784,1642.927778,0.119263039,0.156362701,0.762733301,0.445622466,0.90568999
252,ENSG00000186501,228.3520274,-0.133945436,0.103414142,-1.295233258,0.195239775,0.843466108
253,ENSG00000142765,740.5533698,-0.260987474,0.088419918,-2.951681936,0.003160483,0.577234078
254,ENSG00000142733,65.20362637,0.151966228,0.222861747,0.681885652,0.495311259,0.917100105
255,ENSG00000158195,4070.981168,0.182929154,0.175528827,1.042160181,0.297337421,0.873996516
256,ENSG00000126705,171.5823242,-0.139571571,0.134598244,-1.036949424,0.299759428,0.874417674
257,ENSG00000000938,3488.420683,0.092941319,0.137390703,0.676474585,0.498739377,0.917821756
258,ENSG00000126709,629.2952497,0.690737112,0.386292936,1.788117378,0.073757072,0.758263742
259,ENSG00000009780,81.07593456,0.116747216,0.1494225,0.781322868,0.434612623,0.903372885
260,ENSG00000117758,219.4948148,0.2393364,0.099571395,2.403666224,0.016231586,0.633887767
261,ENSG00000117751,123.3401129,0.104365638,0.126155673,0.827276615,0.408080295,0.900735483
262,ENSG00000130775,3125.627427,0.131348139,0.123681833,1.061984089,0.288242908,0.873146868
263,ENSG00000117748,365.2683005,0.17474591,0.120829573,1.446218053,0.148116052,0.820438378
264,ENSG00000130768,11.65965742,-0.963881218,0.440154724,-2.189869072,0.028533734,0.678784767
265,ENSG00000158156,407.5993798,0.126654464,0.16911533,0.748923614,0.453903247,0.91028481
266,ENSG00000158161,293.422009,-0.031115469,0.088578419,-0.35127596,0.725381328,0.960183271
267,ENSG00000169403,2176.529715,0.006595113,0.161335318,0.040878294,0.967392922,0.995316292
268,ENSG00000126698,189.7834862,0.386652944,0.130202251,2.969633337,0.002981554,0.575505302
269,ENSG00000130770,120.6540234,-0.192081121,0.127944284,-1.501287242,0.133281283,0.809497416
270,ENSG00000130766,138.9701665,-0.044639405,0.145322368,-0.307175046,0.758710138,0.962597587
271,ENSG00000130772,92.07461946,-0.103222756,0.151277906,-0.682338612,0.495024863,0.917100105
272,ENSG00000204138,208.6667794,-0.00539111,0.119877927,-0.044971664,0.964129895,0.994853531
273,ENSG00000180198,87.81342678,-0.170673991,0.160528206,-1.063202508,0.287690125,0.873146868
274,ENSG00000180098,95.40049374,-0.062587529,0.166546487,-0.375796149,0.707068451,0.957882289
275,ENSG00000120656,134.8982852,0.076083967,0.134336629,0.566367995,0.571143646,0.932672717
276,ENSG00000188060,23.28472542,0.220773136,0.426559926,0.517566518,0.604760747,0.941685195
277,ENSG00000162419,177.1575675,0.047197268,0.110579801,0.426816354,0.669513094,0.951518034
278,ENSG00000198492,323.334152,0.154074213,0.067001534,2.299562469,0.02147302,0.65358885
279,ENSG00000159023,11257.95013,0.265839956,0.311950894,0.852185267,0.394111273,0.898675787
280,ENSG00000253304,16.88111025,-0.715417515,0.374987774,-1.907842238,0.05641161,0.740455472
281,ENSG00000116350,804.3160637,0.105957141,0.074476571,1.422690914,0.154825776,0.82377338
282,ENSG00000116353,53.27496832,-0.219061293,0.210282847,-1.041745899,0.297529503,0.873996516
283,ENSG00000162510,5.368760502,-0.055511563,0.732668829,-0.075766241,0.939605075,0.992241856
284,ENSG00000162511,7733.466606,0.157496832,0.104185088,1.51170225,0.130609626,0.808824101
